"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",245,122,332,157,288,460,85,331,291,398,408,320,193,136,591,264,100,100,73,106
"2",568,283,353,92,241,218,34,210,259,133,263,195,445,216,50,48,378,396,365,253
"3",275,223,331,187,120,327,424,309,309,184,179,124,69,202,605,149,92,362,302,227
"4",192,318,493,370,165,273,437,292,92,269,190,233,53,113,93,189,170,225,231,602
"5",356,121,287,329,116,139,152,376,176,537,127,390,129,188,547,534,76,88,148,184
"6",179,184,213,286,85,302,141,245,317,279,46,176,208,184,641,237,301,541,208,227
"7",349,118,284,376,179,81,231,188,97,234,159,243,300,221,652,461,198,73,160,396
"8",38,259,98,163,139,354,227,298,272,92,185,709,309,511,280,222,42,332,268,202
"9",410,321,417,208,58,634,305,39,217,143,124,140,152,340,345,243,160,321,215,208
"10",199,304,289,507,202,35,200,245,474,319,41,615,203,293,126,151,181,86,149,381
"11",560,87,289,96,106,505,164,123,367,264,147,413,215,315,568,83,160,157,194,187
"12",678,46,95,154,149,572,281,67,189,92,162,377,310,209,203,291,362,366,278,119
"13",300,301,298,238,96,280,302,175,88,216,169,234,61,317,250,335,472,359,379,130
"14",227,167,283,120,361,366,709,199,275,165,213,142,415,208,267,94,369,72,77,271
"15",254,167,159,210,177,183,67,191,360,138,371,216,256,206,162,350,79,289,1076,89
"16",184,192,369,109,156,89,439,410,535,413,198,342,320,242,99,185,116,145,275,182
"17",67,262,327,303,172,465,199,74,229,183,261,229,339,309,152,120,154,454,379,322
"18",160,19,101,420,57,400,189,158,576,249,215,108,119,192,274,558,338,286,277,304
"19",162,129,32,173,99,312,286,255,181,204,217,350,440,87,389,543,318,411,188,224
"20",589,238,233,290,147,196,127,242,46,214,222,203,315,282,99,152,194,456,409,346
"21",263,87,411,203,309,198,127,212,148,386,280,302,383,29,368,112,219,185,525,253
"22",158,270,229,307,99,45,373,142,442,287,71,168,212,248,554,327,202,302,308,256
"23",154,183,257,137,69,187,296,187,438,549,320,328,416,140,331,233,223,250,183,119
"24",204,194,36,182,162,441,218,260,143,641,320,49,93,401,446,394,163,454,89,110
"25",219,372,439,190,277,172,170,171,540,239,278,330,191,216,80,488,109,172,100,247
"26",354,205,383,286,147,228,378,213,115,177,183,395,290,141,114,435,298,297,76,285
"27",107,56,331,99,319,173,336,304,150,281,465,316,405,86,534,278,291,142,83,244
"28",377,111,57,417,535,222,377,307,53,373,200,285,395,127,130,143,355,281,165,90
"29",451,345,266,608,222,217,179,93,366,216,426,266,545,101,152,241,47,50,130,79
"30",46,148,210,298,177,325,45,160,251,254,198,178,219,513,530,371,433,197,239,208
"31",157,109,107,496,217,377,145,282,598,123,165,275,119,100,297,323,347,550,142,71
"32",399,146,172,219,420,276,355,477,137,223,122,127,242,262,280,257,252,262,157,215
"33",214,136,470,420,169,346,177,514,361,237,435,328,122,131,77,106,374,104,114,165
"34",191,200,379,209,31,244,218,175,101,540,319,84,98,377,230,214,556,171,345,318
"35",107,104,332,245,280,345,344,81,414,215,471,199,673,144,196,105,68,212,316,149
"36",337,153,187,318,159,139,177,289,269,173,414,206,304,462,62,329,190,284,441,107
"37",50,294,315,219,279,281,283,379,290,259,172,247,85,197,242,310,370,56,92,580
"38",247,660,310,206,275,216,124,404,128,329,35,143,296,267,158,177,226,187,208,404
"39",186,163,137,296,345,100,226,692,83,102,380,215,323,52,363,294,403,156,196,288
"40",259,205,343,128,182,215,146,433,113,241,315,413,575,311,111,71,317,341,187,94
"41",288,246,123,151,124,78,778,145,247,162,131,140,184,164,231,209,109,450,334,706
"42",126,208,110,356,268,205,88,76,338,282,316,80,503,226,533,350,132,435,267,101
"43",277,385,215,130,394,171,309,376,317,51,119,205,491,122,243,121,298,152,337,287
"44",298,355,240,308,206,37,323,420,209,396,182,140,103,142,561,355,244,59,283,139
"45",98,279,633,279,212,256,196,125,187,195,148,362,184,57,372,98,463,47,524,285
"46",97,224,176,315,78,352,84,75,121,152,741,254,317,165,147,594,298,341,221,248
"47",117,116,189,336,302,201,214,245,290,320,88,385,258,398,206,390,570,112,53,210
"48",196,341,328,43,306,335,219,192,203,240,112,518,336,374,327,422,224,94,45,145
"49",210,156,152,324,245,245,165,273,988,170,157,171,345,218,61,472,183,84,230,151
"50",174,409,292,479,217,247,249,263,352,145,414,292,198,292,133,67,184,269,241,83
"51",92,323,113,64,302,160,615,458,187,416,388,163,160,98,403,306,232,367,101,52
"52",187,70,285,108,542,125,343,221,243,432,320,222,94,403,263,280,76,268,165,353
"53",248,590,154,150,291,148,192,227,240,294,527,294,240,122,228,304,200,30,342,179
"54",210,259,410,119,174,183,199,150,101,232,87,175,311,589,587,556,153,80,255,170
"55",260,407,173,411,135,151,301,192,618,223,63,160,303,189,115,81,394,326,93,405
"56",131,179,438,232,122,115,391,155,226,170,146,268,192,569,487,120,127,258,497,177
"57",86,269,133,266,861,71,157,289,184,488,382,229,149,185,126,205,233,296,261,130
"58",265,379,174,176,727,52,178,259,301,375,261,38,545,100,227,246,209,261,137,90
"59",279,341,75,427,378,294,621,152,170,215,209,72,289,251,293,221,238,148,180,147
"60",411,245,277,328,219,312,326,148,300,368,508,168,52,89,287,139,121,157,175,370
"61",231,271,451,527,262,114,343,169,50,429,59,323,180,185,473,182,286,198,185,82
"62",218,334,300,238,237,359,617,281,212,277,72,227,88,262,251,197,515,148,52,115
"63",234,275,255,580,105,566,312,170,129,228,211,272,232,165,127,281,365,205,49,239
"64",79,85,581,318,216,205,29,95,375,240,169,396,294,368,259,501,116,127,120,427
"65",352,183,489,338,29,349,93,169,459,103,125,131,405,262,138,166,331,194,371,313
"66",419,365,162,90,452,346,227,277,162,58,127,334,252,300,77,419,163,379,254,137
"67",186,153,520,184,138,187,216,521,104,139,322,565,263,150,229,195,238,241,233,216
"68",140,313,401,233,249,198,270,185,167,183,110,313,251,204,112,138,355,588,241,349
"69",328,77,116,50,84,354,280,285,207,267,552,476,228,200,385,217,341,150,305,98
"70",354,207,128,342,77,336,498,159,237,573,236,426,147,309,284,94,207,219,98,69
"71",197,342,112,183,129,525,57,188,407,408,392,71,627,174,232,137,315,157,200,147
"72",162,459,132,215,335,241,146,427,209,270,415,90,357,111,239,154,160,64,311,503
"73",481,144,124,334,47,569,125,127,360,301,148,77,277,363,267,36,479,125,93,523
"74",79,177,154,82,140,385,145,376,248,317,333,210,432,147,376,20,376,494,265,244
"75",211,120,160,209,359,192,427,211,355,165,383,57,202,261,390,405,280,439,71,103
"76",475,231,302,174,48,47,187,474,357,212,154,358,159,502,26,168,221,506,201,198
"77",209,92,140,295,228,173,170,216,164,111,107,143,572,87,152,259,328,830,282,442
"78",186,73,133,105,247,103,96,391,248,521,79,136,161,63,600,591,269,458,351,189
"79",194,211,257,398,276,209,269,493,201,462,112,87,274,271,170,186,349,223,264,94
"80",356,131,138,34,652,148,97,208,128,425,258,145,165,534,393,170,282,376,237,123
"81",328,214,424,155,260,344,124,91,643,325,261,387,251,118,392,62,190,119,117,195
"82",279,385,326,81,215,257,358,221,351,342,134,281,201,365,327,227,194,48,229,179
"83",193,248,62,433,113,299,177,516,504,265,263,154,218,266,405,121,77,193,258,235
"84",382,240,144,229,152,229,78,527,328,279,185,241,705,169,113,201,147,275,231,145
"85",180,107,473,253,33,125,83,464,283,118,347,478,602,330,244,127,71,187,229,266
"86",84,169,462,125,178,201,57,401,324,329,251,60,542,438,285,389,223,240,149,93
"87",423,276,169,184,324,423,274,84,168,557,180,203,81,156,426,109,230,265,194,274
"88",401,84,127,263,368,350,141,329,127,336,88,87,417,202,347,200,227,287,425,194
"89",293,16,79,360,176,74,149,462,380,487,230,526,233,64,94,158,171,307,197,544
"90",402,102,86,87,99,344,224,142,293,158,134,379,530,270,264,582,214,387,246,57
"91",187,309,142,130,455,180,252,149,163,130,145,108,659,145,176,176,186,246,737,325
"92",203,344,393,215,542,150,159,173,243,71,183,321,224,232,342,91,205,268,204,437
"93",435,430,151,276,202,190,148,318,247,416,355,55,506,264,82,240,321,33,197,134
"94",269,79,76,119,192,143,512,634,169,51,105,210,320,274,182,419,269,525,100,352
"95",464,255,313,251,208,360,379,164,357,136,279,146,172,215,48,229,332,186,178,328
"96",179,56,159,498,21,174,156,164,245,305,568,149,198,193,118,216,523,279,589,210
"97",479,823,217,362,425,171,81,96,230,22,153,168,170,403,131,419,109,209,137,195
"98",125,170,40,501,327,126,108,349,49,249,322,344,226,320,115,534,494,81,216,304
"99",128,347,319,188,110,287,97,105,556,174,612,329,210,147,193,268,167,285,171,307
"100",86,442,254,126,213,537,129,62,224,44,171,492,251,85,86,238,657,326,131,446
