"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",129,75,232,367,437,470,195,151,151,227,311,312,268,350,208,187,136,196,266,332
"2",102,122,61,139,356,797,352,182,260,279,84,226,375,395,188,181,161,93,328,319
"3",122,48,310,144,382,476,215,327,240,271,173,144,239,157,213,342,378,77,300,442
"4",215,187,118,203,216,253,513,125,353,34,534,75,549,184,153,121,278,170,357,362
"5",183,124,246,248,253,411,386,192,172,342,69,298,201,437,177,100,130,244,392,395
"6",281,153,97,168,252,921,173,163,41,74,332,116,197,461,255,101,188,229,308,490
"7",184,100,161,287,274,311,363,166,261,348,41,423,330,212,132,195,158,124,456,474
"8",105,192,251,200,217,257,411,141,76,429,213,264,357,279,277,175,180,345,277,354
"9",66,133,79,123,234,792,829,248,146,177,119,407,449,295,86,178,129,72,158,280
"10",203,81,78,302,294,501,332,256,221,99,319,154,333,422,193,278,225,131,234,344
"11",384,36,106,168,372,372,498,160,170,245,373,289,153,228,251,179,495,191,125,205
"12",277,46,180,364,287,503,227,287,118,223,95,262,199,280,134,235,295,131,232,625
"13",173,92,115,385,507,593,496,114,165,122,309,270,129,406,283,51,34,54,290,412
"14",171,77,339,195,257,379,231,294,294,175,245,272,212,392,223,345,53,222,303,321
"15",128,124,166,174,563,595,278,97,109,169,152,414,126,262,271,157,276,168,423,348
"16",115,71,126,399,297,676,560,269,328,230,220,264,223,133,281,43,74,96,254,341
"17",185,174,338,73,586,374,610,135,68,168,336,173,251,414,205,147,118,223,174,248
"18",173,192,161,215,279,449,515,173,49,154,191,138,170,666,292,154,108,171,420,330
"19",283,59,292,109,352,577,336,166,97,155,321,330,197,287,185,144,372,19,394,325
"20",327,185,194,28,417,933,536,134,99,219,111,165,157,417,124,192,149,163,197,253
"21",141,260,176,165,350,975,322,360,198,116,137,219,155,345,220,167,313,97,30,254
"22",131,36,213,237,107,683,335,196,109,266,99,246,240,377,246,249,292,142,228,568
"23",273,62,140,169,146,899,550,271,130,138,222,78,260,312,76,115,222,145,253,539
"24",261,95,136,365,289,549,371,236,218,167,111,127,203,187,151,220,335,326,358,295
"25",124,78,351,297,231,670,399,203,49,153,90,308,164,221,135,142,213,131,381,660
"26",240,340,144,187,158,522,451,85,174,239,212,146,279,357,324,124,119,311,124,464
"27",302,113,223,258,243,531,450,297,193,219,201,191,220,339,9,258,310,75,163,405
"28",60,284,195,153,239,297,553,73,110,282,363,211,291,145,217,178,232,339,334,444
"29",222,584,149,267,170,626,366,86,266,245,169,201,500,194,212,140,47,140,176,240
"30",390,148,209,443,222,149,429,258,146,88,182,18,497,247,164,211,191,84,625,299
"31",187,123,375,303,208,472,258,392,132,161,327,135,344,451,132,48,214,119,139,480
"32",132,187,90,171,239,657,759,213,105,162,270,342,219,305,101,228,47,159,208,406
"33",190,45,100,205,304,538,392,271,599,111,150,135,327,226,141,196,154,387,120,409
"34",85,339,80,202,245,261,312,261,68,104,186,136,452,265,298,150,231,458,278,589
"35",156,239,209,143,253,817,500,158,267,542,232,96,115,403,204,142,144,54,94,232
"36",148,217,78,187,267,546,236,305,199,285,99,218,350,331,120,248,524,180,307,155
"37",275,205,268,179,483,202,438,144,111,129,181,120,403,379,52,209,172,253,368,429
"38",146,124,322,165,306,516,308,267,139,60,161,465,188,242,372,58,193,266,338,364
"39",107,159,205,79,95,320,681,178,227,102,78,296,614,304,215,192,397,171,302,278
"40",89,224,169,222,202,446,435,101,358,180,258,512,212,450,151,62,126,175,284,344
"41",396,82,200,268,301,631,387,110,63,229,133,280,363,138,228,157,88,230,293,423
"42",268,183,179,40,365,437,395,131,71,361,192,287,344,346,228,132,216,283,146,396
"43",206,175,252,281,445,407,347,179,102,82,218,255,101,222,143,491,101,227,233,533
"44",47,150,119,150,113,445,455,339,178,164,83,492,511,463,31,54,271,319,211,405
"45",161,69,72,311,256,374,724,205,236,271,201,126,149,258,305,139,156,246,467,274
"46",199,97,141,181,258,561,566,213,352,117,238,225,475,297,55,201,116,268,127,313
"47",152,194,71,180,367,511,182,192,35,197,183,334,331,390,78,120,170,362,252,699
"48",325,312,244,102,182,548,466,171,57,76,230,142,513,356,276,51,169,285,99,396
"49",205,134,154,173,351,407,495,27,336,81,78,290,146,406,34,374,449,209,454,197
"50",82,60,487,65,232,413,438,398,243,66,575,122,149,447,139,139,78,141,505,221
"51",89,151,176,213,266,877,390,293,306,208,333,180,33,83,97,121,409,85,278,412
"52",195,92,399,124,240,473,345,179,113,237,201,330,514,185,217,108,97,286,132,533
"53",164,61,160,260,123,493,529,299,170,244,368,345,275,254,302,129,157,51,444,172
"54",386,208,129,421,154,374,391,150,311,330,139,103,329,182,308,111,84,264,161,465
"55",177,356,119,173,252,561,123,263,219,199,123,214,220,293,236,208,102,234,274,654
"56",133,30,404,138,243,624,455,250,140,147,186,135,350,353,120,81,208,183,140,680
"57",48,97,74,190,305,768,542,133,184,203,66,194,125,213,144,592,126,188,491,317
"58",62,356,83,296,161,714,503,650,75,361,324,45,158,295,107,141,130,146,181,212
"59",190,129,393,233,67,364,595,127,177,105,141,103,292,613,35,268,178,316,390,284
"60",158,90,149,224,337,615,563,211,58,212,228,61,300,242,330,74,174,285,175,514
"61",161,61,100,120,385,680,363,154,493,84,387,103,121,173,148,303,197,277,430,260
"62",162,126,288,154,109,801,501,402,190,154,62,267,214,347,126,73,125,151,399,349
"63",124,123,292,184,234,401,404,301,153,90,192,152,301,658,170,231,148,184,267,391
"64",295,177,74,449,175,553,188,365,42,378,164,239,120,429,194,144,153,253,181,427
"65",247,220,178,116,492,420,502,151,241,177,197,100,149,332,350,200,119,199,193,417
"66",112,109,255,241,258,630,672,285,269,90,281,142,150,131,61,235,228,168,213,470
"67",297,39,222,313,184,366,449,95,215,199,95,219,342,483,139,99,113,510,205,416
"68",457,96,89,69,232,468,562,198,135,193,154,79,392,405,171,110,193,320,518,159
"69",94,265,171,518,204,225,458,26,272,364,139,76,478,495,319,139,61,89,303,304
"70",137,56,92,86,523,289,374,217,266,135,170,335,262,516,179,224,244,193,389,313
"71",128,248,501,268,130,566,570,412,134,53,315,168,148,279,151,41,369,78,42,399
"72",198,179,300,121,458,431,867,413,209,128,254,135,60,236,117,206,151,221,110,206
"73",328,161,458,133,226,412,435,184,133,355,88,147,197,478,93,319,421,63,96,273
"74",68,226,49,102,229,591,498,250,341,138,135,62,253,217,200,323,131,116,341,730
"75",276,170,277,357,239,605,562,75,138,74,237,317,473,139,343,47,222,141,97,211
"76",178,420,232,125,341,357,494,292,275,173,223,395,233,134,73,220,122,137,193,383
"77",101,198,94,283,444,483,470,450,106,157,221,195,120,446,301,43,291,224,202,171
"78",93,204,345,237,444,547,289,256,106,169,235,236,183,382,94,168,92,46,167,707
"79",245,58,153,95,217,771,394,142,86,219,134,204,503,368,200,224,104,244,397,242
"80",117,168,92,162,401,540,366,164,182,429,200,168,244,292,177,21,336,209,190,542
"81",185,120,265,193,435,449,579,198,47,175,404,118,223,243,180,145,125,135,159,622
"82",242,316,178,220,155,462,390,147,160,292,364,176,276,290,85,120,94,339,263,431
"83",89,130,383,319,298,319,274,127,105,70,585,189,193,185,238,318,189,168,606,215
"84",174,112,51,327,65,439,556,317,105,187,213,328,296,174,178,183,209,247,181,658
"85",107,157,317,199,182,570,248,353,234,272,133,249,302,225,128,161,151,190,401,421
"86",185,149,213,243,392,342,288,202,214,105,325,405,446,247,119,19,180,250,252,424
"87",240,345,128,253,162,577,323,209,85,407,110,116,385,378,128,172,267,59,209,447
"88",134,26,322,261,269,592,461,186,129,167,185,267,309,224,100,166,206,141,297,558
"89",225,192,56,333,71,343,552,184,158,310,287,201,370,193,234,170,355,107,309,350
"90",265,194,144,57,257,582,458,244,59,362,189,376,347,228,143,128,89,87,281,510
"91",274,211,129,296,372,353,296,129,215,98,100,335,429,475,117,311,165,61,98,536
"92",149,249,264,152,441,642,566,148,247,256,117,240,189,196,107,116,128,275,173,345
"93",347,167,183,164,80,558,390,183,139,161,211,66,364,429,158,146,254,110,274,616
"94",125,271,189,312,113,442,552,235,248,162,211,126,204,479,98,137,232,188,334,342
"95",155,242,219,91,395,556,273,331,261,94,297,303,331,351,163,157,199,90,254,238
"96",166,158,175,101,106,579,351,87,112,173,317,169,509,570,71,468,157,209,116,406
"97",176,94,138,203,280,510,516,134,81,231,380,99,204,419,136,252,101,246,347,453
"98",99,175,128,106,221,1192,244,257,110,183,371,90,189,271,98,60,346,250,252,358
"99",235,235,213,415,350,188,316,128,63,134,302,160,447,288,110,139,203,438,260,376
"100",63,342,157,79,395,496,268,180,160,89,183,139,202,297,113,226,460,175,263,713
"101",228,213,156,178,340,414,299,192,69,116,332,151,249,453,92,167,281,492,187,391
"102",233,149,51,319,433,391,451,130,134,361,115,178,290,477,121,100,105,45,470,447
"103",122,255,187,101,330,856,590,116,189,99,233,274,385,256,87,209,199,162,102,248
"104",218,128,163,152,295,508,354,96,181,216,149,37,353,481,185,288,182,130,223,661
"105",130,69,88,27,304,490,307,112,449,228,229,250,325,428,309,248,118,93,413,383
"106",336,172,73,133,243,674,536,253,338,361,110,48,218,157,214,288,115,132,372,227
"107",171,176,219,136,194,434,151,77,105,165,264,155,318,537,192,151,179,622,399,355
"108",512,82,168,284,466,402,606,234,157,194,156,199,221,205,103,160,107,253,124,367
"109",252,75,88,134,433,504,427,69,147,212,210,257,158,775,70,96,240,175,261,417
"110",187,74,79,73,278,695,157,232,356,183,141,197,233,270,72,180,404,288,352,549
"111",160,167,209,46,320,441,324,186,237,215,189,213,465,289,79,176,111,79,565,529
"112",239,308,370,173,455,447,198,103,121,151,466,77,369,318,225,197,243,95,287,158
"113",538,203,185,255,127,602,448,127,173,140,283,75,393,459,163,55,176,114,19,465
"114",443,123,467,94,229,412,380,87,196,73,338,209,233,234,140,234,316,327,242,223
"115",143,238,121,385,304,400,307,337,274,118,187,82,317,162,341,182,204,361,230,307
"116",196,140,67,384,164,456,481,102,126,245,236,307,302,371,182,246,356,65,263,311
"117",247,195,89,87,282,811,505,277,148,255,104,122,283,299,58,193,263,178,154,450
"118",275,88,61,206,131,544,693,257,126,288,89,388,318,283,18,105,114,442,291,283
"119",375,116,287,271,183,478,462,265,187,261,203,65,190,409,65,314,178,89,243,359
"120",93,307,223,280,338,639,344,354,231,169,210,165,258,249,168,147,53,79,216,477
"121",194,79,169,146,316,755,406,224,220,87,166,395,197,543,211,207,141,153,170,221
"122",320,354,50,189,258,703,705,200,207,227,328,225,288,121,21,106,138,218,133,209
"123",201,218,180,103,537,421,475,226,96,88,123,230,228,463,290,209,171,62,379,300
"124",173,275,282,122,487,446,335,338,75,154,208,57,148,338,33,407,163,182,464,313
"125",120,94,134,290,434,632,438,84,170,240,125,310,363,228,281,182,145,65,235,430
"126",88,415,149,160,172,660,586,214,217,292,404,239,204,322,73,189,140,128,227,121
"127",130,157,210,185,328,585,376,260,450,155,215,206,264,707,75,147,107,107,132,204
"128",344,172,631,78,256,476,407,91,429,178,176,114,277,366,269,142,170,141,143,140
"129",413,120,51,121,304,608,388,281,139,319,258,85,282,398,126,32,307,75,568,125
"130",104,181,105,105,439,472,499,127,244,266,116,51,218,302,244,320,247,224,237,499
"131",248,91,176,335,440,361,255,252,342,304,201,106,258,328,334,83,172,134,269,311
"132",47,83,202,331,351,631,540,247,108,59,158,367,348,365,145,73,144,140,198,463
"133",227,143,159,139,229,579,533,513,112,233,256,138,139,427,76,232,238,231,111,285
"134",108,273,118,283,352,481,472,155,134,248,172,122,226,664,58,202,145,154,448,185
"135",196,134,172,424,341,187,242,178,279,190,139,285,325,281,141,269,466,208,344,199
"136",61,107,66,329,389,681,624,140,99,112,346,312,176,384,118,205,121,38,306,386
"137",204,235,159,123,223,367,473,305,180,180,132,340,438,178,151,72,132,111,341,656
"138",213,162,81,207,202,647,603,114,108,220,163,359,324,454,30,292,242,142,149,288
"139",345,202,218,234,212,386,584,342,103,165,258,333,317,330,100,71,165,294,159,182
"140",500,139,86,283,80,404,458,301,79,345,108,172,186,254,62,316,444,105,372,306
"141",113,31,160,120,369,589,487,45,231,135,244,114,432,626,74,166,329,252,182,301
"142",153,197,164,201,228,535,516,418,366,130,142,151,155,239,216,189,78,227,147,548
