"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170"
"1",41,25,9,24,15,18,11,53,17,28,30,34,52,49,23,55,57,14,52,68,7,21,22,21,21,32,11,28,49,34,33,59,26,20,7,50,37,29,51,22,15,47,15,16,25,30,11,56,7,44,9,36,31,98,30,24,110,9,11,25,44,43,21,37,14,30,41,35,11,16,23,15,24,28,15,50,7,11,84,54,25,31,38,45,65,46,46,28,44,45,4,15,38,28,76,29,27,10,34,3,41,34,17,22,36,61,11,24,36,27,29,36,10,44,5,38,56,15,7,39,42,8,10,32,15,58,35,14,43,14,25,18,22,30,29,13,23,34,7,21,17,30,19,7,12,18,18,25,32,28,24,55,16,27,16,27,49,37,12,23,26,8,43,2,24,22,70,32,12,4
"2",49,12,36,7,16,17,26,82,39,15,25,71,46,51,20,31,12,18,12,54,15,13,53,15,28,5,7,10,41,23,29,11,13,16,17,16,15,45,43,31,27,26,27,30,31,16,22,11,24,18,3,46,37,23,21,14,65,16,88,23,34,63,28,20,39,68,37,24,48,28,53,22,21,77,10,26,31,12,32,23,49,13,33,21,63,20,13,37,34,11,24,11,5,15,23,20,68,33,41,10,42,39,11,37,33,18,29,35,15,20,24,51,15,43,9,11,56,36,74,36,40,15,19,39,25,45,49,15,71,43,16,21,9,31,27,24,17,18,13,16,93,58,32,9,31,10,6,29,11,25,27,12,35,41,49,24,17,19,17,49,6,32,62,20,29,31,53,37,37,19
"3",33,35,46,17,38,34,8,45,32,12,20,31,25,22,16,55,24,22,31,96,10,7,16,38,16,33,12,9,18,22,55,15,26,6,16,34,36,30,23,27,67,25,18,7,18,24,35,19,10,31,25,31,8,38,36,12,85,23,14,22,23,38,29,38,22,24,27,11,71,9,35,22,26,29,4,11,27,72,8,38,32,54,48,38,24,31,32,30,28,45,61,24,23,28,34,34,35,11,41,10,20,13,19,12,10,9,11,23,44,34,30,19,18,41,19,3,43,34,6,16,21,18,60,15,14,83,33,11,25,8,49,10,45,51,22,10,23,12,16,29,60,42,14,23,37,77,36,32,41,14,83,47,64,24,36,33,32,33,14,82,31,26,12,4,48,52,36,55,37,30
"4",26,24,17,70,20,4,61,60,53,24,26,66,22,30,42,48,13,30,15,48,25,13,42,27,23,17,19,25,12,19,16,45,30,3,52,6,44,29,18,7,21,41,11,4,29,9,29,20,8,25,15,32,13,57,57,29,99,16,31,28,10,67,23,21,2,22,16,20,39,26,60,48,63,20,10,59,63,33,54,3,20,22,23,40,89,27,38,22,36,14,8,21,23,42,33,13,8,17,26,7,45,16,29,39,17,21,41,9,12,48,21,30,17,18,8,68,58,18,39,34,51,11,35,45,27,29,29,36,44,16,37,6,30,9,19,10,38,21,46,10,19,10,28,8,22,49,18,22,39,52,33,29,21,30,32,83,48,21,20,62,18,28,57,9,17,37,23,35,29,31
"5",23,22,23,27,31,80,28,75,11,34,24,7,16,25,26,70,16,36,11,55,28,28,16,28,28,8,65,26,27,44,25,35,54,14,21,14,60,33,34,15,24,6,23,13,15,13,17,10,17,35,28,73,27,13,49,32,54,30,49,34,40,30,24,17,20,6,37,6,10,18,34,25,11,51,18,8,31,13,19,41,19,15,42,30,80,30,13,111,31,39,7,34,17,54,27,45,50,30,21,9,13,4,6,11,19,49,55,24,15,37,45,25,31,45,15,41,51,30,13,7,10,20,30,31,13,42,40,25,32,22,37,37,82,36,21,29,8,21,18,39,47,52,37,13,26,17,38,32,16,14,44,40,69,34,43,5,13,7,38,38,18,27,41,29,18,24,27,38,9,49
"6",37,37,20,17,34,9,27,71,22,23,35,19,38,42,65,91,5,53,26,96,24,9,12,20,40,44,12,15,17,6,38,28,20,18,31,14,16,29,120,41,6,10,7,22,60,32,49,32,9,27,40,7,36,36,37,22,85,14,45,31,43,19,28,13,90,34,7,8,69,3,20,45,29,62,11,34,14,21,29,11,34,20,80,14,36,46,25,2,5,11,18,35,12,71,36,32,23,20,27,26,46,29,11,50,19,18,10,13,33,24,22,21,37,19,54,26,39,6,28,24,58,18,24,48,31,109,21,27,16,7,55,23,14,25,33,15,22,29,13,35,24,15,28,10,12,25,53,25,44,44,23,17,71,20,40,3,15,12,36,31,25,9,62,12,25,23,22,21,0,10
"7",44,10,49,19,18,15,3,85,29,37,29,16,19,40,28,46,41,30,13,24,8,19,36,30,27,24,6,17,17,51,14,70,25,35,11,13,19,17,78,44,33,72,31,36,6,40,53,43,23,30,27,41,30,75,14,43,101,14,11,9,23,31,9,4,12,22,19,22,53,33,30,6,12,40,12,21,8,9,10,40,23,10,28,18,39,24,7,39,26,57,44,25,6,36,20,4,9,8,17,24,29,12,11,57,31,39,34,28,25,33,19,48,13,50,29,5,85,30,6,62,28,26,17,67,10,82,25,29,42,20,37,27,27,11,38,19,33,42,13,53,13,29,7,30,44,26,28,39,31,13,53,52,20,45,41,31,16,59,27,31,18,34,49,21,32,37,30,40,34,10
"8",19,26,22,15,16,3,34,50,38,38,41,23,68,15,39,50,26,9,12,68,30,8,12,12,6,16,38,18,25,12,39,28,15,12,25,15,33,30,23,31,32,33,20,24,52,8,44,43,30,4,38,43,74,68,44,14,97,34,24,46,36,21,7,59,24,39,41,63,6,4,20,38,17,38,35,17,65,17,41,16,16,25,42,52,74,38,13,50,5,10,29,22,7,14,37,14,20,5,14,17,36,12,22,22,28,1,32,38,7,38,24,3,31,19,20,31,86,9,33,34,52,29,42,34,7,89,18,15,56,36,32,24,39,19,21,13,32,12,16,31,64,26,6,23,8,62,17,29,47,16,60,31,51,25,53,40,11,9,28,51,32,11,24,22,42,16,37,44,8,44
"9",66,39,57,48,19,42,13,79,12,26,16,39,34,30,20,47,28,25,19,43,24,10,35,43,28,29,30,15,8,30,35,47,26,24,7,79,69,16,21,46,63,20,27,11,43,26,22,18,3,32,18,57,6,53,25,33,68,4,58,14,49,11,45,10,41,28,17,40,24,13,33,39,48,30,16,26,21,40,30,13,39,8,13,19,82,74,33,34,14,20,32,34,8,4,34,36,18,35,30,51,26,6,7,52,32,12,32,30,26,20,63,28,13,24,22,15,48,42,46,19,20,13,45,13,31,41,15,25,39,21,26,32,4,19,52,16,30,17,10,12,38,18,25,39,37,25,18,40,17,16,51,38,24,31,28,22,35,4,11,54,54,32,34,34,23,17,31,29,7,7
"10",39,28,35,7,56,68,7,143,44,28,87,40,10,27,17,61,54,10,6,45,50,27,17,51,48,41,25,24,27,17,17,17,13,31,2,31,25,39,41,27,47,35,25,19,23,20,14,18,18,15,7,40,54,21,46,21,52,23,55,34,27,61,15,18,32,16,7,13,30,50,30,6,26,61,23,27,22,47,37,27,16,33,42,19,39,12,22,23,24,23,24,83,32,4,38,19,13,8,38,42,27,44,21,33,69,41,29,18,12,10,25,11,45,22,5,13,56,19,55,41,21,32,7,13,11,102,13,10,25,27,36,13,40,17,21,18,28,4,18,35,31,44,26,16,32,34,40,37,40,23,16,29,24,25,22,19,32,30,20,16,22,51,10,31,31,6,24,45,6,33
"11",36,21,28,15,11,84,42,80,20,30,34,41,13,27,57,45,13,47,9,50,22,16,18,15,18,47,27,20,33,8,46,14,41,35,15,23,18,15,49,36,49,10,6,55,28,20,19,21,12,20,53,50,34,43,44,13,39,17,41,13,17,9,22,23,46,46,40,4,41,3,30,37,6,36,28,20,36,18,48,40,8,11,18,14,31,30,31,29,16,15,62,26,8,16,23,36,51,22,19,21,40,19,18,27,42,44,18,41,68,25,17,24,39,6,12,27,22,30,16,8,51,12,22,13,26,44,30,50,84,5,70,62,32,13,30,21,43,16,59,10,10,11,30,83,23,19,43,43,18,47,17,39,48,12,38,14,33,37,44,39,10,8,20,39,25,53,25,38,35,20
"12",33,19,35,21,50,28,12,68,27,32,29,37,55,38,42,35,13,8,7,25,14,10,33,21,34,22,41,33,15,17,35,18,47,21,24,18,55,12,36,9,41,40,16,13,14,29,23,5,24,47,43,68,60,38,24,14,74,26,65,28,29,47,8,22,20,22,45,11,17,7,30,25,12,35,6,10,16,7,60,39,26,6,38,26,65,31,24,44,31,39,22,20,18,18,23,77,62,3,20,1,13,45,4,35,39,24,13,28,41,18,14,41,33,71,15,22,85,2,19,21,29,14,6,11,33,52,15,15,100,7,13,16,28,25,42,30,27,38,23,20,43,58,20,28,35,51,17,23,38,29,58,35,17,50,16,11,43,38,29,41,28,23,26,11,21,33,29,98,27,14
