"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0,4,35,5,7,0,17,7,2,2,4,82,15,5,7,5,4,6,1,2288,5,5,14,1,3,35,32,5,13,3,26,5,173,3,3,99,1971,2,2,17,6,39,1,7,4,1,12,9,2,6
"2",2,6,31,13,17,11,6,6,7,8,11,73,24,5,4,2,4,3,1,2294,2,1,22,4,3,29,32,4,10,3,36,9,220,0,3,80,1884,2,3,31,14,41,3,10,4,2,10,6,2,2
"3",3,7,32,18,7,4,1,6,4,5,10,76,8,4,7,4,4,4,0,2308,2,7,9,4,3,50,29,3,14,8,19,5,185,1,7,105,1928,2,6,12,16,37,1,9,1,1,7,11,6,0
"4",3,3,25,14,15,1,4,1,8,2,6,73,8,0,4,5,6,1,3,2328,4,5,9,2,5,18,41,4,14,5,19,7,165,6,1,125,1960,1,3,11,11,45,2,3,5,0,10,7,1,1
"5",1,5,30,12,14,8,11,4,2,2,11,54,15,5,4,0,3,6,0,2327,3,2,7,3,3,22,26,2,17,5,24,3,155,5,3,88,2013,1,1,23,7,34,4,6,3,0,9,11,4,2
"6",0,6,28,8,11,4,3,2,4,5,10,79,12,5,4,2,7,2,2,2279,6,13,11,8,4,28,21,8,11,8,18,2,193,2,1,72,1995,3,10,13,7,47,0,19,2,1,13,4,7,0
"7",0,9,30,16,14,1,5,7,2,4,7,74,20,11,5,2,3,3,3,2325,6,7,13,2,4,29,40,2,8,3,23,5,201,1,7,88,1900,1,5,13,7,40,0,15,4,0,14,14,4,3
"8",3,14,22,12,12,0,3,5,3,6,2,92,11,5,5,5,4,2,1,2288,7,6,10,0,6,39,34,13,11,11,26,1,199,2,3,85,1944,3,1,11,7,38,5,7,6,3,8,6,8,5
"9",0,10,23,2,11,2,2,1,4,5,19,79,14,10,4,4,4,0,5,2235,5,2,11,4,4,34,34,2,4,2,33,5,186,6,1,81,2023,6,4,12,9,50,3,10,6,1,8,9,7,4
"10",2,4,29,9,15,5,10,4,5,7,8,67,18,1,12,2,11,5,6,2264,2,2,20,2,9,19,32,5,6,4,28,4,217,3,3,99,1910,2,4,23,8,62,3,16,6,2,12,10,2,1
"11",0,4,29,16,5,0,4,6,5,4,5,77,8,1,8,4,8,4,0,2238,6,7,18,8,7,37,43,9,12,4,22,5,192,1,1,96,1990,0,4,12,9,44,5,6,4,4,6,10,2,10
"12",1,7,22,8,13,7,7,9,2,4,3,55,19,8,5,6,1,2,3,2301,2,5,6,3,1,27,24,5,13,6,34,5,210,6,2,92,1953,2,3,22,8,38,8,6,2,1,19,6,8,0
"13",3,5,35,18,9,0,9,5,3,0,12,85,14,8,2,3,7,5,1,2233,2,3,15,8,7,30,23,8,15,2,26,10,201,2,1,88,1983,1,10,18,16,25,5,15,6,4,9,6,4,0
"14",4,9,35,15,18,11,6,3,9,1,6,63,9,5,5,3,5,11,1,2258,4,6,6,5,2,37,36,0,6,5,37,6,185,7,1,110,1955,2,5,13,9,34,3,14,5,2,11,8,9,0
"15",6,8,19,12,10,8,4,11,9,0,6,62,12,4,4,3,3,2,2,2314,4,5,7,1,2,27,33,1,12,6,28,4,237,4,8,95,1930,1,4,12,16,26,4,8,6,3,10,5,0,2
