"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170"
"1",22,18,10,8,10,94,23,9,3,22,26,23,42,39,17,30,12,36,17,40,35,8,54,12,7,36,34,29,16,30,27,30,12,38,7,24,22,17,41,53,11,27,28,43,18,59,61,14,23,31,37,25,1,32,9,78,64,31,79,40,34,48,38,23,60,37,21,23,11,8,49,22,12,13,36,73,23,34,30,20,22,36,17,34,30,47,25,30,13,17,29,5,38,27,31,69,57,42,24,55,34,35,14,62,24,24,19,14,13,45,25,25,32,30,4,18,23,23,31,9,3,22,18,39,6,12,15,43,20,32,34,17,29,14,18,64,28,28,24,38,85,23,35,27,47,7,11,26,40,45,34,35,31,26,27,49,15,61,42,28,38,51,42,24,5,12,48,18,9,44
"2",15,26,35,19,23,11,20,30,45,14,37,13,17,48,8,36,31,34,16,8,17,11,38,34,20,76,19,7,23,54,9,24,2,27,19,17,21,39,56,9,63,20,51,37,5,16,79,25,26,44,47,24,11,10,70,43,16,23,51,27,57,51,47,37,5,9,59,17,59,28,26,25,17,27,47,43,47,28,32,32,30,11,11,11,40,93,19,36,27,26,43,34,60,41,14,14,33,16,35,36,19,20,56,30,15,13,27,13,16,49,65,20,22,6,57,36,38,32,13,41,30,29,11,20,10,60,20,11,13,11,14,19,47,32,33,53,47,37,20,38,8,3,64,34,43,37,16,38,4,19,30,6,11,20,32,43,53,33,33,14,40,54,15,33,59,21,15,29,7,24
"3",56,41,18,12,59,3,43,17,20,44,60,7,44,51,6,40,21,20,14,37,20,14,16,72,26,35,26,21,20,61,39,18,68,9,20,14,9,17,23,40,29,54,103,12,47,16,59,49,14,21,34,14,48,15,16,20,42,50,19,33,17,43,33,72,36,35,23,22,10,16,48,10,18,8,17,15,74,9,40,40,75,15,14,27,28,43,12,14,31,39,54,61,75,27,37,34,23,55,9,33,13,26,10,4,26,38,31,22,13,36,50,4,11,20,34,11,14,47,48,8,32,31,33,4,31,19,18,38,38,77,33,26,16,33,38,7,27,89,46,8,10,12,36,61,6,10,34,13,37,22,56,25,14,26,14,22,13,3,27,38,25,16,33,25,16,30,43,38,6,11
"4",50,14,19,64,25,3,11,16,29,34,27,23,9,16,44,24,19,3,9,48,27,2,32,13,46,14,33,3,26,61,14,29,41,55,7,28,20,68,73,26,10,24,39,20,36,19,26,19,41,45,10,4,35,47,21,40,26,21,25,23,36,32,11,18,6,23,7,22,25,20,46,20,28,22,31,38,14,9,32,28,12,7,33,56,30,24,16,9,50,54,12,58,22,22,38,29,37,42,30,21,38,35,38,4,22,27,21,44,63,33,28,70,33,26,39,35,24,48,14,33,53,15,25,21,7,11,35,74,67,43,45,58,11,21,44,30,28,56,41,36,26,28,8,24,26,11,14,18,18,57,14,63,44,27,60,21,47,47,38,11,20,22,6,54,49,35,37,37,12,24
"5",30,15,21,55,11,11,21,6,75,24,17,62,30,67,30,6,17,12,20,23,23,28,23,27,15,10,58,14,16,41,14,32,9,16,24,34,16,69,7,44,12,18,30,13,32,27,41,34,26,11,7,18,10,32,30,41,8,9,20,10,23,14,35,24,27,23,27,61,24,29,12,8,39,33,7,14,29,62,60,39,15,23,15,44,39,19,38,62,44,39,16,11,35,20,47,61,46,21,65,34,46,28,49,24,37,50,6,27,17,6,19,8,17,45,49,45,36,30,24,44,34,21,59,25,19,25,80,48,8,19,37,24,48,18,33,43,16,29,14,35,23,15,65,57,29,21,29,13,3,27,18,10,13,86,22,18,50,31,36,12,23,29,40,32,5,29,32,101,40,63
"6",20,23,33,43,30,8,30,16,55,45,10,24,26,23,63,11,13,30,24,13,25,26,4,54,24,16,17,19,14,3,49,33,27,18,6,11,62,35,38,27,33,55,44,36,18,50,27,19,54,7,37,5,23,15,30,83,12,22,36,21,25,31,27,26,22,13,31,37,30,11,16,36,31,16,21,40,30,22,42,27,29,53,31,14,33,17,35,39,25,4,36,10,34,19,14,36,34,28,33,20,24,26,56,11,18,54,46,37,23,12,38,21,52,48,35,37,6,19,30,53,18,17,11,67,4,46,35,8,22,32,60,23,14,48,9,29,11,20,47,22,47,19,42,26,68,39,38,39,13,19,63,52,55,16,26,25,81,34,28,10,61,46,22,23,15,21,54,26,35,15
"7",13,23,77,12,35,39,38,12,34,10,36,52,11,32,17,16,27,35,5,41,11,47,48,43,5,65,36,29,11,19,6,20,22,16,16,11,7,6,20,28,50,8,31,44,23,28,15,77,41,40,10,62,34,9,9,5,20,13,40,23,73,38,32,17,15,43,24,17,19,24,39,64,39,40,10,6,39,55,6,19,24,78,36,12,21,11,25,51,28,29,51,18,17,44,18,21,65,18,48,10,17,5,16,16,30,14,59,16,30,12,63,24,21,29,10,25,73,52,66,31,12,30,13,49,16,38,53,12,36,20,26,66,15,11,44,45,9,60,15,48,14,102,25,37,20,21,43,16,24,24,31,40,49,46,42,16,19,42,15,28,6,39,27,28,28,16,34,27,26,31
"8",25,27,34,33,5,18,14,19,14,60,13,2,59,51,27,36,14,55,22,45,11,33,58,48,17,33,39,6,33,31,26,30,26,39,16,41,18,26,37,17,16,16,11,17,21,14,44,49,17,114,22,18,25,78,54,12,56,7,14,40,12,25,24,52,22,34,28,32,13,43,11,61,52,1,23,13,27,16,29,9,15,63,46,27,19,51,21,26,13,34,50,40,22,69,22,27,43,15,5,13,45,25,13,26,22,9,20,29,13,40,22,14,5,22,20,31,19,18,26,13,39,7,47,13,42,18,18,44,33,13,43,13,40,81,32,15,30,86,9,34,15,46,7,29,36,23,54,19,23,15,24,47,54,59,12,22,35,6,35,34,30,45,36,45,23,40,16,20,85,25
"9",22,35,39,20,21,30,1,17,51,17,6,37,27,24,39,34,26,14,47,84,33,26,48,13,33,33,20,26,33,31,10,20,12,71,26,19,37,44,37,26,20,41,44,22,36,15,9,26,49,7,20,53,30,22,10,8,15,36,41,16,38,38,25,30,50,20,10,11,82,40,8,21,15,46,38,9,10,16,58,28,32,33,33,26,51,18,51,82,65,48,38,45,19,65,32,37,34,26,23,18,38,37,74,75,28,20,13,18,39,7,17,18,44,52,45,38,16,44,3,38,46,4,3,32,28,8,14,26,27,16,6,28,2,15,43,73,2,28,51,37,21,2,31,8,20,5,24,42,34,32,16,23,28,39,36,5,14,6,10,23,50,16,16,47,31,60,52,36,12,30
"10",29,41,12,13,53,37,16,17,19,50,38,72,36,16,25,14,36,47,42,44,64,57,20,50,8,40,52,64,32,17,64,33,31,9,17,15,31,23,30,57,13,18,27,44,24,12,37,30,9,14,24,10,36,17,128,7,23,14,20,18,101,36,33,30,20,11,62,42,14,35,37,24,58,39,49,15,14,5,15,27,6,50,21,16,25,14,17,44,2,59,12,30,44,14,13,13,19,49,32,10,25,4,62,21,25,18,19,61,49,52,30,28,68,7,22,35,19,17,30,29,61,6,11,10,29,29,20,21,46,27,27,10,3,73,26,10,52,22,4,47,42,60,18,31,41,44,31,17,23,24,26,24,20,39,26,22,38,12,33,21,14,23,32,20,27,28,10,29,13,4
"11",48,28,0,11,35,83,39,20,20,23,13,29,56,19,14,20,27,46,35,11,36,89,46,40,10,51,16,13,14,6,25,70,34,32,17,20,20,19,21,14,7,40,43,10,41,16,19,17,45,30,29,60,41,29,32,52,68,9,14,16,20,54,29,74,37,51,11,37,39,25,23,50,16,15,19,20,15,18,20,24,57,20,39,22,36,24,39,71,8,26,40,29,25,9,34,22,19,53,40,23,7,18,35,9,11,36,33,38,78,16,20,38,61,19,34,18,12,25,16,21,11,11,9,4,47,20,22,15,16,32,35,58,18,27,33,48,52,23,41,27,9,19,6,12,22,39,26,10,25,4,32,16,102,59,30,9,29,11,22,49,57,37,19,24,8,64,39,12,25,69
"12",2,13,11,53,5,24,48,35,30,48,27,46,49,19,10,21,26,68,20,44,21,36,23,56,26,57,51,7,43,17,15,20,9,11,19,22,24,13,5,18,24,16,27,47,50,8,52,71,27,56,18,37,20,75,46,23,58,27,55,12,27,42,31,20,3,53,25,31,53,26,35,28,78,46,18,32,48,18,18,17,34,19,19,25,19,64,11,35,31,26,14,78,39,7,22,54,21,29,24,17,28,29,40,15,30,10,19,21,40,38,20,37,5,18,42,26,45,19,11,40,16,56,40,59,29,69,12,18,10,24,62,23,12,51,19,19,28,23,5,13,14,56,18,19,34,20,62,27,16,37,12,22,9,21,19,25,23,12,57,25,42,15,34,58,29,9,29,32,19,6
