"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170"
"1",32,45,59,19,31,24,10,4,51,7,54,14,26,4,23,10,48,19,36,36,24,50,24,29,18,11,5,43,34,64,26,3,11,23,13,36,17,7,58,28,18,33,11,20,18,37,56,49,48,33,20,63,4,22,47,17,31,12,48,54,65,32,113,52,8,23,20,8,19,14,10,30,21,18,12,19,16,72,39,26,45,10,26,45,25,17,13,21,30,13,59,20,46,44,12,44,49,21,50,22,59,21,24,16,46,8,29,23,14,28,31,28,8,25,55,19,45,29,27,47,71,19,27,8,25,28,49,22,19,23,10,28,52,22,0,47,11,31,54,41,16,31,18,15,27,35,25,19,58,28,25,22,17,35,45,7,12,48,53,17,23,30,50,23,24,43,21,49,46,23
"2",13,36,57,24,16,28,19,7,21,23,29,22,3,10,35,17,30,15,16,11,14,23,58,44,19,39,2,32,50,87,30,42,63,22,16,13,13,6,49,12,8,28,30,47,12,12,33,18,29,20,14,28,21,18,64,13,19,36,40,55,28,16,101,73,7,21,4,8,61,17,21,28,5,64,32,38,49,9,14,54,14,22,32,46,29,19,15,33,28,29,17,18,31,47,17,45,40,12,42,37,56,12,13,36,40,33,18,11,6,19,7,54,19,13,59,41,10,44,28,44,65,22,50,45,50,16,15,12,24,13,9,20,59,35,25,54,65,15,7,22,26,63,60,21,88,26,18,12,26,12,54,20,66,21,71,18,32,28,31,49,45,10,28,39,32,19,7,21,17,20
"3",13,36,46,12,34,32,17,30,18,20,20,4,17,23,12,19,7,62,12,40,12,30,37,43,22,7,8,48,40,25,13,29,43,27,21,24,24,42,69,12,36,18,8,33,47,70,125,29,13,28,6,31,20,25,18,59,30,23,24,18,71,19,67,83,8,3,4,12,10,19,78,38,21,27,38,18,16,14,30,41,52,20,21,24,44,33,14,26,31,19,23,65,15,28,23,25,35,9,17,42,73,68,28,33,44,36,41,10,20,11,18,8,12,8,32,40,5,22,21,20,38,9,18,17,5,38,17,16,33,42,17,40,43,23,8,33,18,31,12,42,19,20,15,44,42,11,6,38,52,7,51,44,71,21,28,20,18,39,20,61,28,17,53,25,78,77,21,41,34,55
"4",51,17,16,25,41,15,17,15,14,18,53,50,59,32,14,8,10,8,6,24,46,14,36,17,41,29,62,72,59,59,10,23,31,37,25,14,21,109,18,24,59,14,14,38,13,66,70,21,26,29,21,54,26,52,31,57,29,36,19,50,24,21,66,91,31,13,13,19,26,27,28,17,29,12,68,17,10,9,59,32,13,18,57,9,37,14,36,14,21,26,15,47,26,26,27,24,11,36,37,64,32,13,14,20,63,42,56,28,4,54,18,38,22,11,26,30,11,42,16,15,56,31,8,22,6,33,8,28,24,24,14,29,40,15,47,56,23,22,40,34,22,25,23,17,43,52,21,28,19,13,15,32,19,11,55,4,28,29,17,62,15,28,23,22,23,23,15,30,8,28
"5",16,27,23,40,9,22,7,9,19,20,30,11,35,62,15,31,7,7,28,13,16,25,19,12,15,23,17,38,27,20,102,13,26,72,43,26,37,42,39,21,36,30,24,13,40,46,99,46,25,12,32,46,32,13,36,29,12,11,3,69,53,50,75,159,2,11,21,24,20,52,37,23,9,7,36,11,14,30,17,21,35,11,34,12,4,98,21,32,13,13,28,50,10,20,50,24,59,28,28,36,57,40,20,9,48,26,10,18,16,6,11,2,56,39,21,55,10,15,56,21,50,17,37,44,22,37,34,25,18,15,14,29,44,27,19,22,8,37,18,22,40,39,29,24,21,31,32,18,44,14,50,14,34,30,41,19,11,46,20,54,64,25,41,34,22,28,34,24,16,30
"6",16,61,45,14,12,20,14,19,59,40,14,43,23,7,37,29,38,23,34,13,45,33,22,39,27,18,29,26,78,44,20,27,24,19,24,19,18,53,52,17,24,28,26,29,10,15,61,6,21,29,22,27,19,27,8,29,15,10,4,65,36,11,52,62,39,19,34,27,8,25,20,11,27,9,36,10,32,37,41,12,23,61,28,20,33,39,17,14,21,15,35,60,21,26,17,50,57,14,29,46,66,56,14,18,64,33,36,51,44,41,18,19,30,10,22,29,36,24,9,28,37,54,27,29,19,21,19,13,45,35,41,57,57,46,19,22,12,29,16,45,22,24,29,14,3,7,20,49,55,14,16,5,30,57,27,16,30,43,21,48,27,24,54,20,36,16,32,18,31,77
"7",11,14,8,15,47,38,18,20,22,12,38,9,36,36,87,26,28,12,31,10,2,11,24,60,41,27,19,47,51,48,35,17,10,55,28,24,51,25,67,18,27,45,23,36,18,21,58,32,43,44,24,19,12,10,6,21,14,4,6,51,46,14,65,119,30,45,16,32,8,27,58,47,20,26,11,27,24,26,6,37,11,16,53,32,21,56,15,44,16,26,35,72,37,15,22,35,37,30,14,27,89,18,34,30,28,13,27,24,38,31,7,32,25,29,21,16,22,45,69,11,57,37,34,31,39,11,19,32,45,28,11,39,58,16,22,39,8,27,5,33,18,4,38,6,23,39,52,32,45,36,12,54,23,20,27,9,35,58,24,39,10,34,25,26,15,40,13,12,20,21
"8",20,31,27,28,15,31,22,35,15,60,38,10,42,16,6,9,16,3,13,22,21,13,9,48,24,35,10,66,13,39,40,14,55,41,11,23,23,16,55,45,48,28,17,13,45,43,24,30,16,26,10,33,41,7,12,5,42,15,19,19,58,31,40,123,38,17,15,7,41,62,16,1,8,12,48,41,26,30,12,4,46,7,18,20,8,39,2,26,35,34,16,26,20,9,50,32,58,37,4,46,52,18,50,23,60,21,32,34,22,26,33,35,15,17,4,11,28,17,42,22,22,75,42,38,27,48,61,14,19,36,38,18,67,22,18,36,34,3,8,25,63,36,28,15,47,56,31,28,13,11,129,30,25,15,24,41,12,30,46,66,52,38,39,18,29,58,27,15,6,43
"9",18,45,19,11,19,28,54,20,54,14,20,5,10,10,17,17,22,20,64,15,17,29,26,21,20,41,50,57,30,53,51,16,34,38,16,7,17,37,49,48,26,10,18,30,25,34,56,33,17,53,28,45,39,8,29,38,39,24,37,71,27,34,70,100,25,14,16,13,39,69,26,7,36,20,19,11,28,44,33,22,40,11,32,37,27,18,6,14,26,16,15,8,46,19,6,29,48,22,31,20,69,17,10,18,45,19,7,75,15,27,15,26,17,14,42,20,5,3,34,34,76,25,46,11,14,41,13,28,31,20,12,67,93,70,15,26,8,39,16,42,23,26,15,55,27,24,12,12,14,38,101,26,22,24,56,17,16,25,39,26,53,37,30,21,24,19,18,27,12,33
"10",20,21,18,30,6,26,30,20,37,23,9,24,15,19,40,45,21,12,23,23,16,4,17,14,62,24,13,32,60,49,36,41,13,22,35,51,36,23,20,33,29,22,34,22,8,45,86,31,11,12,17,21,14,16,31,29,37,30,35,48,39,24,80,91,5,34,58,20,7,29,31,16,20,41,13,2,8,44,36,25,43,22,27,52,39,32,26,13,16,24,82,32,27,6,11,50,44,38,41,56,86,18,58,37,61,19,17,30,16,4,49,9,20,0,41,19,33,28,13,39,32,31,47,17,18,43,33,14,35,13,9,66,86,27,10,37,13,13,25,9,36,57,5,8,19,38,9,13,19,17,49,22,25,22,53,17,44,34,40,39,15,23,28,43,23,37,27,32,49,37
