"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170"
"1",37,18,12,27,13,37,50,19,17,40,10,10,40,9,21,74,45,24,38,19,18,8,45,13,35,41,21,41,20,28,6,22,54,32,20,60,24,10,14,24,21,25,60,15,29,33,18,32,26,50,43,18,23,43,2,43,74,12,47,22,11,36,13,33,27,29,34,11,8,33,28,36,31,35,11,31,69,24,16,33,32,11,61,18,37,13,28,33,28,28,15,13,33,29,15,47,23,31,28,23,33,54,45,84,21,34,35,21,21,25,20,69,48,20,66,41,9,25,26,38,40,29,27,26,13,14,11,10,8,41,23,27,11,35,16,22,33,16,36,38,82,13,18,34,17,45,30,9,16,42,42,13,37,19,32,66,27,8,32,74,34,23,18,18,16,61,29,42,34,31
"2",4,45,5,21,55,35,27,59,27,27,12,24,20,28,13,54,14,50,23,40,26,50,15,22,12,28,46,16,31,25,51,6,43,37,34,33,10,37,42,39,26,26,101,9,37,6,12,36,11,24,37,13,40,27,33,45,25,25,55,41,46,18,46,8,25,13,23,26,38,32,49,18,7,32,22,42,60,22,9,29,37,9,49,32,72,22,4,25,41,30,20,26,39,6,17,1,56,30,45,73,20,49,25,52,9,25,41,18,7,9,19,39,26,21,74,23,5,50,69,14,39,36,26,19,8,24,8,10,31,24,26,31,17,10,14,28,25,23,30,21,33,40,43,5,11,20,40,7,33,60,36,26,49,13,16,54,42,4,53,62,14,27,20,61,27,37,40,26,17,25
"3",17,36,7,15,27,19,66,31,20,31,31,17,23,34,34,41,41,33,41,21,58,8,6,43,26,46,17,19,13,100,37,18,14,34,28,38,37,51,49,28,39,29,29,23,79,16,45,41,29,19,16,26,22,54,20,15,19,36,47,30,23,27,24,35,20,28,30,53,30,10,21,115,62,13,35,17,78,58,10,31,50,15,11,9,67,18,12,17,29,14,31,24,57,12,9,25,19,28,27,31,13,22,37,28,1,59,27,18,21,38,9,29,13,12,70,14,31,7,20,27,13,39,19,40,7,10,11,20,27,15,67,24,23,32,17,69,36,21,23,13,29,36,17,33,34,7,82,8,7,27,44,6,25,12,10,61,46,7,32,45,8,32,40,36,27,32,28,16,63,14
"4",46,18,38,15,36,19,55,26,25,24,19,19,18,33,30,15,33,24,30,77,33,41,27,9,100,51,21,34,13,17,44,22,20,14,28,16,47,2,24,23,4,15,33,4,11,8,19,21,43,46,40,54,23,38,20,35,23,28,34,21,13,70,9,59,37,24,54,22,31,11,13,37,42,21,29,31,33,25,10,13,45,47,56,31,74,57,47,11,33,54,40,36,35,35,8,21,14,21,11,47,18,28,20,29,12,5,22,29,18,12,13,25,36,22,53,50,14,19,14,29,27,30,44,17,41,25,29,12,17,10,18,16,41,8,20,66,8,38,27,8,102,61,17,22,13,24,14,19,24,30,34,15,72,21,30,95,13,28,27,72,35,26,25,41,33,37,21,11,25,30
"5",8,17,12,32,29,53,57,22,38,53,24,55,80,25,36,34,17,22,49,30,33,38,13,15,30,14,41,6,40,13,31,2,12,17,24,46,19,8,29,22,23,13,23,68,27,16,56,28,30,45,31,8,36,50,5,47,66,23,31,19,47,12,37,48,16,9,46,31,29,48,18,19,21,12,37,11,115,24,22,7,26,6,20,26,13,10,8,51,7,35,26,39,67,11,12,15,45,10,22,32,9,101,45,72,3,13,16,19,42,12,6,27,63,12,76,25,32,19,19,14,11,53,40,25,29,3,11,46,33,7,4,40,38,45,24,31,38,16,16,49,78,55,38,61,12,25,11,20,15,50,36,21,28,7,42,69,26,41,16,47,31,12,41,33,8,19,42,13,12,26
"6",12,44,22,51,22,40,28,11,19,10,18,24,37,13,37,25,37,43,46,47,15,17,14,18,61,22,24,31,12,9,21,5,25,48,53,32,8,15,24,15,41,17,31,10,20,20,46,16,28,23,3,17,25,68,29,27,36,24,35,11,27,26,2,20,24,19,87,30,2,14,25,3,41,32,34,50,55,11,15,27,9,4,48,49,34,19,23,70,10,48,17,6,64,8,43,55,21,11,35,44,49,25,58,71,27,27,26,23,18,21,16,52,39,20,61,21,14,33,16,26,24,20,43,36,33,14,7,16,15,13,36,5,27,8,34,107,31,19,26,15,163,23,40,50,19,4,10,35,21,34,39,52,20,1,15,52,41,30,72,15,19,28,45,17,34,92,36,16,31,30
"7",29,5,35,52,29,34,69,29,35,26,2,18,12,17,26,31,25,43,47,32,32,30,17,56,35,20,21,25,12,23,11,6,24,12,12,15,28,23,23,29,20,10,64,33,32,9,42,10,63,52,1,13,72,56,56,32,42,14,22,13,12,33,27,41,16,39,41,56,11,9,21,15,41,26,47,27,34,7,26,20,17,26,72,39,66,31,25,16,25,36,27,8,84,12,28,44,48,45,19,41,21,45,42,34,29,23,40,30,17,27,7,7,36,21,22,79,25,33,56,37,16,32,21,35,40,33,15,12,35,15,28,43,17,13,41,54,33,39,22,30,58,34,19,10,31,36,6,38,16,28,46,27,17,17,31,43,17,31,65,57,22,13,27,19,31,23,18,4,19,28
"8",14,18,8,31,51,18,49,83,7,11,13,38,21,17,41,35,33,42,26,23,22,35,20,23,84,14,15,55,18,9,20,12,8,57,67,10,14,11,16,15,23,25,88,24,36,8,24,62,28,27,16,16,27,97,10,40,84,77,20,11,38,19,14,34,25,34,9,10,3,3,40,27,6,20,43,46,36,53,19,20,24,24,45,47,10,29,33,39,14,40,20,21,46,29,7,4,37,31,17,64,34,39,41,64,43,54,53,19,34,5,9,43,46,38,62,31,14,27,9,26,7,22,59,15,45,31,15,31,10,11,54,24,44,21,23,34,19,20,46,8,60,59,31,22,18,18,42,29,23,6,33,19,18,17,35,38,26,34,52,61,18,22,19,17,34,15,9,4,20,44
"9",15,19,14,47,43,13,62,7,50,2,33,9,35,22,28,22,20,16,31,44,8,22,15,31,32,26,41,9,42,50,26,25,16,27,50,40,29,28,24,60,10,27,46,21,34,20,43,15,29,42,22,41,41,31,58,14,22,13,14,19,66,51,7,23,22,22,42,34,26,17,5,27,20,20,26,73,67,9,19,40,18,23,25,60,42,35,25,22,23,30,94,16,19,17,10,33,19,41,40,16,21,51,44,25,14,28,39,51,21,5,42,58,9,19,86,23,33,42,15,36,6,44,21,25,6,48,12,30,16,20,35,20,22,8,59,25,29,29,32,37,20,29,9,30,10,15,22,31,22,61,13,7,59,7,17,74,38,46,43,52,12,18,18,40,39,55,18,39,22,29
"10",12,40,20,36,19,33,45,42,3,11,11,25,30,28,48,6,16,9,38,59,63,12,17,15,35,22,33,27,35,41,17,33,5,17,39,22,6,36,30,40,14,43,21,32,19,27,38,22,3,28,30,60,38,87,20,47,19,12,28,30,73,39,10,16,5,45,17,25,22,42,31,19,29,22,12,10,86,31,35,14,8,19,61,39,26,33,5,4,6,56,20,19,75,98,13,22,9,25,19,38,24,50,31,46,10,46,45,7,61,7,30,34,20,43,58,73,19,17,31,34,19,28,13,39,14,24,28,18,36,29,7,57,47,16,18,39,32,12,13,20,39,49,27,48,8,21,26,9,30,26,60,44,30,21,9,72,31,20,35,54,27,18,30,53,4,34,29,6,55,18
